time_s	det_index	det_bbox	det_vote	det_rank	det_layout_hint	det_cols_hint	det_occ	det_tl	det_n	det_line_frac	det_edge_frac	det_max_dom	layout	status	mask_source	mask_occ	mask_tl	mask_n	reader	reader_status	route_reason	ocr_calls	joined	column_order	column_bbox_abs	ocr_text	ocr_ms	ocr_jp_ratio
42.000	0	[794, 123, 897, 405]	18	1.4727	vertical_rl	2	0.41	1.0	6	0.0	0.0	0.3572	vertical_rl	ok	gray_otsu	0.41	1.0	6	ja_mangaocr	planned		2		0	[867, 162, 904, 272]			
42.000	0	[794, 123, 897, 405]	18	1.4727	vertical_rl	2	0.41	1.0	6	0.0	0.0	0.3572	vertical_rl	ok	gray_otsu	0.41	1.0	6	ja_mangaocr	planned		2		1	[825, 241, 862, 420]			
42.000	1	[510, 474, 676, 872]	14	1.3559	vertical_rl	2	0.27	1.0	10	0.0	0.0	0.3275	vertical_rl	ok	gray_otsu	0.27	1.0	10	ja_mangaocr	planned		2		0	[635, 514, 683, 888]			
42.000	1	[510, 474, 676, 872]	14	1.3559	vertical_rl	2	0.27	1.0	10	0.0	0.0	0.3275	vertical_rl	ok	gray_otsu	0.27	1.0	10	ja_mangaocr	planned		2		1	[541, 575, 581, 770]			
48.000	0	[201, 337, 404, 786]	19	1.4785	vertical_rl	3	0.39	0.8889	9	0.0	0.0	0.3081	vertical_rl	ok	gray_otsu	0.39	0.8889	9	ja_mangaocr	planned		3		0	[374, 445, 412, 801]			
48.000	0	[201, 337, 404, 786]	19	1.4785	vertical_rl	3	0.39	0.8889	9	0.0	0.0	0.3081	vertical_rl	ok	gray_otsu	0.39	0.8889	9	ja_mangaocr	planned		3		1	[303, 376, 350, 422]			
48.000	0	[201, 337, 404, 786]	19	1.4785	vertical_rl	3	0.39	0.8889	9	0.0	0.0	0.3081	vertical_rl	ok	gray_otsu	0.39	0.8889	9	ja_mangaocr	planned		3		2	[233, 376, 281, 717]			
48.000	1	[1205, 123, 1308, 379]	19	1.4713	vertical_rl	2	0.42	1.0	7	0.0	0.0	0.3174	vertical_rl	ok	gray_otsu	0.42	1.0	7	ja_mangaocr	planned		2		0	[1278, 162, 1315, 356]			
48.000	1	[1205, 123, 1308, 379]	19	1.4713	vertical_rl	2	0.42	1.0	7	0.0	0.0	0.3174	vertical_rl	ok	gray_otsu	0.42	1.0	7	ja_mangaocr	planned		2		1	[1236, 240, 1274, 394]			
48.000	2	[547, 43, 715, 447]	16	1.3722	vertical_rl	2	0.25	1.0	10	0.0	0.0	0.2165	vertical_rl	ok	gray_otsu	0.25	1.0	10	ja_mangaocr	planned		2		0	[672, 82, 725, 462]			
48.000	2	[547, 43, 715, 447]	16	1.3722	vertical_rl	2	0.25	1.0	10	0.0	0.0	0.2165	vertical_rl	ok	gray_otsu	0.25	1.0	10	ja_mangaocr	planned		2		1	[581, 191, 612, 280]			
48.000	3	[833, 474, 999, 872]	16	1.356	vertical_rl	2	0.25	1.0	10	0.0	0.0	0.324	vertical_rl	ok	gray_otsu	0.25	1.0	10	ja_mangaocr	planned		2		0	[958, 514, 1006, 888]			
48.000	3	[833, 474, 999, 872]	16	1.356	vertical_rl	2	0.25	1.0	10	0.0	0.0	0.324	vertical_rl	ok	gray_otsu	0.25	1.0	10	ja_mangaocr	planned		2		1	[864, 575, 905, 770]			
48.000	4	[1508, 412, 1697, 719]	5	1.269	vertical_rl	2	0.39	1.0	5	0.0	0.0	0.4639	vertical_rl	ok	gray_otsu	0.39	1.0	5	ja_mangaocr	planned		2		0	[1629, 502, 1703, 707]			
48.000	4	[1508, 412, 1697, 719]	5	1.269	vertical_rl	2	0.39	1.0	5	0.0	0.0	0.4639	vertical_rl	ok	gray_otsu	0.39	1.0	5	ja_mangaocr	planned		2		1	[1538, 450, 1607, 733]			
